Id	X	Y	Z
133	744497.2000	9886221.1000	-31.1580
134	744523.2000	9886221.1000	-31.5169
135	744549.2000	9886221.1000	-30.1200
136	744575.2000	9886221.1000	-30.2800
137	744601.2000	9886221.1000	-28.6765
138	744627.2000	9886221.1000	-28.5541
139	744653.2000	9886221.1000	-27.9247
140	744679.2000	9886221.1000	-28.2506
141	744705.2000	9886221.1000	-27.0094
142	744731.2000	9886221.1000	-25.6157
143	744757.2000	9886221.1000	-25.1602
144	744783.2000	9886221.1000	-24.8478
145	744809.2000	9886221.1000	-24.1526
146	744835.2000	9886221.1000	-24.0063
147	744861.2000	9886221.1000	-24.1572
148	744887.2000	9886221.1000	-24.1091
149	744289.2000	9886195.1000	-31.4343
150	744315.2000	9886195.1000	-32.0462
151	744341.2000	9886195.1000	-31.6156
152	744367.2000	9886195.1000	-31.0052
153	744393.2000	9886195.1000	-30.9119
154	744419.2000	9886195.1000	-30.9171
155	744445.2000	9886195.1000	-30.9305
156	744471.2000	9886195.1000	-30.8695
157	744497.2000	9886195.1000	-30.7104
158	744523.2000	9886195.1000	-30.4816
159	744549.2000	9886195.1000	-29.9729
160	744575.2000	9886195.1000	-29.5710
161	744601.2000	9886195.1000	-28.9077
162	744627.2000	9886195.1000	-28.4187
163	744653.2000	9886195.1000	-28.0215
164	744679.2000	9886195.1000	-27.6777
165	744705.2000	9886195.1000	-26.8376
166	744731.2000	9886195.1000	-26.2747
167	744757.2000	9886195.1000	-24.7978
168	744783.2000	9886195.1000	-24.1671
169	744809.2000	9886195.1000	-23.8156
170	744835.2000	9886195.1000	-23.8522
171	744861.2000	9886195.1000	-24.1441
172	744887.2000	9886195.1000	-24.2462
173	744263.2000	9886169.1000	-31.7303
174	744289.2000	9886169.1000	-31.1439
175	744315.2000	9886169.1000	-31.0877
176	744341.2000	9886169.1000	-30.8638
177	744367.2000	9886169.1000	-30.7738
178	744393.2000	9886169.1000	-30.6002
179	744419.2000	9886169.1000	-30.5707
180	744445.2000	9886169.1000	-30.4892
181	744471.2000	9886169.1000	-30.8736
