No	Id	X	Y	Intensitas
122	122	744341.2460	9886227.3600	-11.2964
123	123	744367.2460	9886227.3600	-11.1792
124	124	744393.2460	9886227.3600	-11.0834
125	125	744419.2460	9886227.3600	-10.7387
126	126	744445.2460	9886227.3600	-12.8938
127	127	744471.2460	9886227.3600	-12.8445
128	128	744497.2460	9886227.3600	-12.5882
129	129	744523.2460	9886227.3600	-12.7314
130	130	744549.2460	9886227.3600	-12.7319
131	131	744575.2460	9886227.3600	-12.5796
132	132	744601.2460	9886227.3600	-12.2763
133	133	744627.2460	9886227.3600	-12.7707
134	134	744653.2460	9886227.3600	-13.8654
135	135	744679.2460	9886227.3600	-14.5467
136	136	744705.2460	9886227.3600	-14.6727
137	137	744731.2460	9886227.3600	-15.1863
138	138	744757.2460	9886227.3600	-15.2844
139	139	744783.2460	9886227.3600	-14.9812
140	140	744809.2460	9886227.3600	-14.2122
141	141	744835.2460	9886227.3600	-13.8061
142	142	744861.2460	9886227.3600	-14.6524
143	143	744887.2460	9886227.3600	-13.8556
144	144	744315.2460	9886201.3600	-11.1974
145	145	744341.2460	9886201.3600	-10.9524
146	146	744367.2460	9886201.3600	-11.6646
147	147	744393.2460	9886201.3600	-12.4194
148	148	744419.2460	9886201.3600	-11.5442
149	149	744445.2460	9886201.3600	-12.1794
150	150	744471.2460	9886201.3600	-12.9269
151	151	744497.2460	9886201.3600	-12.6011
152	152	744523.2460	9886201.3600	-12.8293
153	153	744549.2460	9886201.3600	-12.1329
154	154	744575.2460	9886201.3600	-12.7965
155	155	744601.2460	9886201.3600	-12.9708
156	156	744627.2460	9886201.3600	-13.3770
157	157	744653.2460	9886201.3600	-14.2217
158	158	744679.2460	9886201.3600	-14.4938
159	159	744705.2460	9886201.3600	-14.7033
160	160	744731.2460	9886201.3600	-15.1295
161	161	744757.2460	9886201.3600	-15.1396
162	162	744783.2460	9886201.3600	-15.4442
163	163	744809.2460	9886201.3600	-14.7281
164	164	744835.2460	9886201.3600	-13.7902
165	165	744861.2460	9886201.3600	-14.1620
166	166	744887.2460	9886201.3600	-13.3894
167	167	744263.2460	9886175.3600	-12.2793
168	168	744289.2460	9886175.3600	-11.9283
169	169	744315.2460	9886175.3600	-11.3295
170	170	744341.2460	9886175.3600	-11.2148
171	171	744367.2460	9886175.3600	-11.2394
172	172	744393.2460	9886175.3600	-11.1103
173	173	744419.2460	9886175.3600	-11.0887
174	174	744445.2460	9886175.3600	-11.3836
175	175	744471.2460	9886175.3600	-12.3743
176	176	744497.2460	9886175.3600	-13.0166
177	177	744523.2460	9886175.3600	-12.7721
178	178	744549.2460	9886175.3600	-12.6237
179	179	744575.2460	9886175.3600	-13.3132
180	180	744601.2460	9886175.3600	-13.3120
181	181	744627.2460	9886175.3600	-13.9869
182	182	744653.2460	9886175.3600	-14.5342
183	183	744679.2460	9886175.3600	-14.4923
184	184	744705.2460	9886175.3600	-14.7731
185	185	744731.2460	9886175.3600	-14.9859
186	186	744757.2460	9886175.3600	-14.8693
187	187	744783.2460	9886175.3600	-14.6970
188	188	744809.2460	9886175.3600	-14.5263
189	189	744835.2460	9886175.3600	-13.7440
190	190	744861.2460	9886175.3600	-13.5648
191	191	744887.2460	9886175.3600	-12.9687
192	192	744913.2460	9886175.3600	-13.1114
193	193	744237.2460	9886149.3600	-12.4753
194	194	744263.2460	9886149.3600	-12.2857
195	195	744289.2460	9886149.3600	-12.1635
196	196	744315.2460	9886149.3600	-12.0160
197	197	744341.2460	9886149.3600	-11.4421
198	198	744367.2460	9886149.3600	-11.0798
199	199	744393.2460	9886149.3600	-10.9911
200	200	744419.2460	9886149.3600	-12.0312
201	201	744445.2460	9886149.3600	-10.7752
202	202	744471.2460	9886149.3600	-11.3457
203	203	744497.2460	9886149.3600	-12.1118
204	204	744523.2460	9886149.3600	-12.7307
205	205	744549.2460	9886149.3600	-13.0470
206	206	744575.2460	9886149.3600	-13.5703
207	207	744601.2460	9886149.3600	-13.2198
208	208	744627.2460	9886149.3600	-14.0851
209	209	744653.2460	9886149.3600	-14.4102
210	210	744679.2460	9886149.3600	-14.8881
211	211	744705.2460	9886149.3600	-14.6416
212	212	744731.2460	9886149.3600	-14.7857
213	213	744757.2460	9886149.3600	-14.5766
214	214	744783.2460	9886149.3600	-14.0118
215	215	744809.2460	9886149.3600	-13.7398
216	216	744835.2460	9886149.3600	-13.6807
217	217	744861.2460	9886149.3600	-12.7873
218	218	744887.2460	9886149.3600	-12.7100
219	219	744913.2460	9886149.3600	-12.9534
220	220	744939.2460	9886149.3600	-13.5436
221	221	744211.2460	9886123.3600	-12.1718
222	222	744237.2460	9886123.3600	-12.3990
223	223	744263.2460	9886123.3600	-12.0900
224	224	744289.2460	9886123.3600	-11.0665
225	225	744315.2460	9886123.3600	-10.8410
226	226	744341.2460	9886123.3600	-10.5649
227	227	744367.2460	9886123.3600	-11.0255
228	228	744393.2460	9886123.3600	-11.0498
229	229	744419.2460	9886123.3600	-10.8978
230	230	744445.2460	9886123.3600	-10.9700
231	231	744471.2460	9886123.3600	-12.5995
232	232	744497.2460	9886123.3600	-13.0178
233	233	744523.2460	9886123.3600	-12.7177
234	234	744549.2460	9886123.3600	-13.4602
235	235	744575.2460	9886123.3600	-14.1105
236	236	744601.2460	9886123.3600	-13.8024
237	237	744627.2460	9886123.3600	-13.9382
238	238	744653.2460	9886123.3600	-14.4702
239	239	744679.2460	9886123.3600	-14.7112
240	240	744705.2460	9886123.3600	-14.4681
241	241	744731.2460	9886123.3600	-14.1427
242	242	744757.2460	9886123.3600	-14.4464
243	243	744783.2460	9886123.3600	-13.9558
244	244	744809.2460	9886123.3600	-13.4593
245	245	744835.2460	9886123.3600	-12.9252
246	246	744861.2460	9886123.3600	-12.0848
247	247	744887.2460	9886123.3600	-12.6006
248	248	744913.2460	9886123.3600	-12.3786
249	249	744939.2460	9886123.3600	-13.7970
250	250	744185.2460	9886097.3600	-11.8044
251	251	744211.2460	9886097.3600	-12.0089
252	252	744237.2460	9886097.3600	-11.5421
253	253	744263.2460	9886097.3600	-11.8338
254	254	744289.2460	9886097.3600	-10.7447
255	255	744315.2460	9886097.3600	-10.8663
256	256	744341.2460	9886097.3600	-10.8314
257	257	744367.2460	9886097.3600	-11.3586
258	258	744393.2460	9886097.3600	-11.3799
259	259	744419.2460	9886097.3600	-11.3175
260	260	744445.2460	9886097.3600	-11.3802
261	261	744471.2460	9886097.3600	-11.9640
262	262	744497.2460	9886097.3600	-11.9477
263	263	744523.2460	9886097.3600	-13.3335
264	264	744549.2460	9886097.3600	-14.9091
265	265	744575.2460	9886097.3600	-15.1776
266	266	744601.2460	9886097.3600	-14.7004
267	267	744627.2460	9886097.3600	-14.3049
268	268	744653.2460	9886097.3600	-14.4609
269	269	744679.2460	9886097.3600	-14.3266
270	270	744705.2460	9886097.3600	-14.6566
271	271	744731.2460	9886097.3600	-14.5003
272	272	744757.2460	9886097.3600	-13.7657
273	273	744783.2460	9886097.3600	-13.1146
274	274	744809.2460	9886097.3600	-13.2543
275	275	744835.2460	9886097.3600	-12.2742
276	276	744861.2460	9886097.3600	-11.6303
277	277	744887.2460	9886097.3600	-12.0383
278	278	744913.2460	9886097.3600	-12.1688
279	279	744939.2460	9886097.3600	-12.8751
280	280	744965.2460	9886097.3600	-13.1625
281	281	744159.2460	9886071.3600	-11.7741
282	282	744185.2460	9886071.3600	-11.9806
283	283	744211.2460	9886071.3600	-12.0826
284	284	744237.2460	9886071.3600	-12.7872
285	285	744263.2460	9886071.3600	-11.9251
286	286	744289.2460	9886071.3600	-11.3258
287	287	744315.2460	9886071.3600	-10.8572
288	288	744341.2460	9886071.3600	-10.4711
289	289	744367.2460	9886071.3600	-10.4495
290	290	744393.2460	9886071.3600	-10.6645
291	291	744419.2460	9886071.3600	-10.4951
292	292	744445.2460	9886071.3600	-11.3605
293	293	744471.2460	9886071.3600	-11.6191
294	294	744497.2460	9886071.3600	-11.4749
295	295	744523.2460	9886071.3600	-10.8444
296	296	744549.2460	9886071.3600	-11.3663
297	297	744575.2460	9886071.3600	-13.6293
298	298	744601.2460	9886071.3600	-13.8738
299	299	744627.2460	9886071.3600	-14.8374
300	300	744653.2460	9886071.3600	-15.3327
301	301	744679.2460	9886071.3600	-14.9601
302	302	744705.2460	9886071.3600	-14.0849
303	303	744731.2460	9886071.3600	-13.9571
304	304	744757.2460	9886071.3600	-12.8419
305	305	744783.2460	9886071.3600	-12.2531
306	306	744809.2460	9886071.3600	-12.1848
307	307	744835.2460	9886071.3600	-11.9238
308	308	744861.2460	9886071.3600	-11.3160
309	309	744887.2460	9886071.3600	-10.6037
310	310	744913.2460	9886071.3600	-11.7568
311	311	744939.2460	9886071.3600	-11.4737
312	312	744965.2460	9886071.3600	-11.2861
313	313	744133.2460	9886045.3600	-12.1601
314	314	744159.2460	9886045.3600	-12.0372
315	315	744185.2460	9886045.3600	-12.0681
316	316	744211.2460	9886045.3600	-11.9604
317	317	744237.2460	9886045.3600	-12.1816
318	318	744263.2460	9886045.3600	-11.1737
319	319	744289.2460	9886045.3600	-11.1350
320	320	744315.2460	9886045.3600	-11.6495
321	321	744341.2460	9886045.3600	-10.3612
322	322	744367.2460	9886045.3600	-10.2562
323	323	744393.2460	9886045.3600	-10.9390
324	324	744419.2460	9886045.3600	-10.7704
325	325	744445.2460	9886045.3600	-11.1697
326	326	744471.2460	9886045.3600	-11.1619
327	327	744497.2460	9886045.3600	-11.3045
328	328	744523.2460	9886045.3600	-10.7877
329	329	744549.2460	9886045.3600	-10.0653
330	330	744575.2460	9886045.3600	-11.1095
331	331	744601.2460	9886045.3600	-12.0316
332	332	744627.2460	9886045.3600	-14.5575
333	333	744653.2460	9886045.3600	-14.2301
334	334	744679.2460	9886045.3600	-12.4879
335	335	744705.2460	9886045.3600	-12.0525
336	336	744731.2460	9886045.3600	-13.1633
337	337	744757.2460	9886045.3600	-11.9232
338	338	744783.2460	9886045.3600	-11.8614
339	339	744809.2460	9886045.3600	-10.9375
340	340	744835.2460	9886045.3600	-11.1101
341	341	744861.2460	9886045.3600	-11.0727
342	342	744887.2460	9886045.3600	-10.3964
343	343	744913.2460	9886045.3600	-10.3211
344	344	744939.2460	9886045.3600	-9.6571
345	345	744965.2460	9886045.3600	-10.0100
346	346	744991.2460	9886045.3600	-10.1136
347	347	744055.2460	9886019.3600	-10.9788
