Id	X	Y	Rugositas
52	744705.10120	9886346.79960	1.00051
53	744731.10120	9886346.79960	1.00047
54	744757.10120	9886346.79960	1.00012
55	744393.10120	9886320.79960	1.00088
56	744419.10120	9886320.79960	1.00067
57	744445.10120	9886320.79960	1.00109
58	744471.10120	9886320.79960	1.00272
59	744497.10120	9886320.79960	1.00202
60	744523.10120	9886320.79960	1.00186
61	744549.10120	9886320.79960	1.00107
62	744575.10120	9886320.79960	1.00008
63	744601.10120	9886320.79960	1.00012
64	744627.10120	9886320.79960	1.00012
65	744653.10120	9886320.79960	1.00007
66	744679.10120	9886320.79960	1.00009
67	744705.10120	9886320.79960	1.00019
68	744731.10120	9886320.79960	1.00024
69	744757.10120	9886320.79960	1.00018
70	744783.10120	9886320.79960	1.00007
71	744367.10120	9886294.79960	1.00012
72	744393.10120	9886294.79960	1.00040
73	744419.10120	9886294.79960	1.00035
74	744445.10120	9886294.79960	1.00060
75	744471.10120	9886294.79960	1.00115
76	744497.10120	9886294.79960	1.00074
77	744523.10120	9886294.79960	1.00079
78	744549.10120	9886294.79960	1.00066
79	744575.10120	9886294.79960	1.00022
80	744601.10120	9886294.79960	1.00020
81	744627.10120	9886294.79960	1.00010
82	744653.10120	9886294.79960	1.00005
83	744679.10120	9886294.79960	1.00007
84	744705.10120	9886294.79960	1.00009
85	744731.10120	9886294.79960	1.00006
86	744757.10120	9886294.79960	1.00008
87	744783.10120	9886294.79960	1.00007
88	744809.10120	9886294.79960	1.00005
89	744367.10120	9886268.79960	1.00003
90	744393.10120	9886268.79960	1.00006
91	744419.10120	9886268.79960	1.00010
92	744445.10120	9886268.79960	1.00006
93	744471.10120	9886268.79960	1.00014
94	744497.10120	9886268.79960	1.00017
95	744523.10120	9886268.79960	1.00019
96	744549.10120	9886268.79960	1.00026
97	744575.10120	9886268.79960	1.00042
98	744601.10120	9886268.79960	1.00023
99	744627.10120	9886268.79960	1.00021
100	744653.10120	9886268.79960	1.00007
101	744679.10120	9886268.79960	1.00006
102	744705.10120	9886268.79960	1.00002
103	744731.10120	9886268.79960	1.00008
104	744757.10120	9886268.79960	1.00004
105	744783.10120	9886268.79960	1.00015
106	744809.10120	9886268.79960	1.00011
107	744835.10120	9886268.79960	1.00002
108	744341.10120	9886242.79960	1.00003
109	744367.10120	9886242.79960	1.00003
110	744393.10120	9886242.79960	1.00007
111	744419.10120	9886242.79960	1.00021
112	744445.10120	9886242.79960	1.00011
113	744471.10120	9886242.79960	1.00028
114	744497.10120	9886242.79960	1.00044
115	744523.10120	9886242.79960	1.00047
116	744549.10120	9886242.79960	1.00036
117	744575.10120	9886242.79960	1.00033
118	744601.10120	9886242.79960	1.00024
119	744627.10120	9886242.79960	1.00011
120	744653.10120	9886242.79960	1.00003
121	744679.10120	9886242.79960	1.00010
122	744705.10120	9886242.79960	1.00006
123	744731.10120	9886242.79960	1.00020
124	744757.10120	9886242.79960	1.00010
125	744783.10120	9886242.79960	1.00014
126	744809.10120	9886242.79960	1.00008
127	744835.10120	9886242.79960	1.00001
128	744861.10120	9886242.79960	1.00002
129	744315.10120	9886216.79960	1.00017
130	744341.10120	9886216.79960	1.00012
131	744367.10120	9886216.79960	1.00006
132	744393.10120	9886216.79960	1.00019
133	744419.10120	9886216.79960	1.00043
134	744445.10120	9886216.79960	1.00017
135	744471.10120	9886216.79960	1.00009
136	744497.10120	9886216.79960	1.00017
137	744523.10120	9886216.79960	1.00034
138	744549.10120	9886216.79960	1.00045
139	744575.10120	9886216.79960	1.00058
140	744601.10120	9886216.79960	1.00043
141	744627.10120	9886216.79960	1.00020
142	744653.10120	9886216.79960	1.00029
143	744679.10120	9886216.79960	1.00039
144	744705.10120	9886216.79960	1.00020
145	744731.10120	9886216.79960	1.00030
146	744757.10120	9886216.79960	1.00024
147	744783.10120	9886216.79960	1.00007
148	744809.10120	9886216.79960	1.00005
149	744835.10120	9886216.79960	1.00002
150	744861.10120	9886216.79960	1.00003
151	744887.10120	9886216.79960	1.00003
152	744289.10120	9886190.79960	1.00020
153	744315.10120	9886190.79960	1.00046
154	744341.10120	9886190.79960	1.00020
